image_id,condition,conflict_type,question,reference_answer,generated_text,stance,stance_rule,stance_evidence,reference_content_overlap,normalized_exact_match,reference_contained,token_f1,rouge_l_f1,manual_review_required,manual_review_reason,human_semantic_correct,human_stance,human_notes
2395592,multimodal_conflict,object,Where is the letter S?,The image does not contain the letter S.,"The letter ""S"" is not visible in the image provided. The image shows a building with a clock tower and the word ""CADOGAN HALL""",reject_premise,not_visually_present,is not visible,letter,False,False,0.3333333333333333,0.16666666666666666,False,,,,
2395656,multimodal_conflict,object,What is on the side panel?,The image does not contain a side panel.,"The side panel of the airplane has the following text:

- ""N5347G"" (a registration number)
- ""ALASKA"" (",no_explicit_rejection,no_rule_match,,panel|side,False,False,0.23529411764705885,0.23529411764705885,True,conflict_stance:no_explicit_rejection,,,
2404880,multimodal_conflict,relation,What is the person in front doing?,The image does not contain a person in front.,"The person in front, who appears to be a batter, is swinging a baseball bat at a pitch. He is wearing a red helmet and a white uniform with",no_explicit_rejection,no_rule_match,,front|person,False,False,0.2,0.2,True,conflict_stance:no_explicit_rejection,,,
150293,multimodal_conflict,object,How many boats can be seen?,The image does not contain any boats.,There are no boats visible in the image. The image shows an airplane flying over a cityscape.,reject_premise,there_is_no,There are no,boat,False,False,0.21052631578947367,0.10526315789473684,False,,,,
2399942,multimodal_conflict,relation,What would have happened if this event had occurred in a different location?,The image does not contain any information about a specific event.,"If this event had occurred in a different location, the outcome could have been quite different due to various factors such as weather conditions, infrastructure, and local regulations.",no_explicit_rejection,no_rule_match,,event,False,False,0.05714285714285715,0.05714285714285715,True,conflict_stance:no_explicit_rejection,,,
2408623,multimodal_conflict,object,Where is the backpack?,The image does not contain a backpack.,"The backpack is on the ground, near the man who is sitting under the umbrella. It appears to be placed next to his feet.",no_explicit_rejection,no_rule_match,,backpack,False,False,0.08000000000000002,0.08000000000000002,True,conflict_stance:no_explicit_rejection,,,
2394830,multimodal_conflict,relation,What color is the sky?,The image does not contain any depiction of the sky.,"The image does not show the sky; it only shows sheep in a grassy field. Therefore, I cannot determine the color of the sky from this image.",reject_premise,visual_does_not_contain,The image does not show,sky,False,False,0.3333333333333333,0.3333333333333333,False,,,,
2399944,multimodal_conflict,object,What is the book on?,The image does not contain a book.,"The book is on top of a table or desk, surrounded by several old mobile phones.",no_explicit_rejection,no_rule_match,,book,False,False,0.10526315789473682,0.10526315789473682,True,conflict_stance:no_explicit_rejection,,,
2406642,multimodal_conflict,object,What are the cows eating?,The image does not contain any cows.,"There is no existence of cows in the image description, only sheep and a dog.",reject_premise,there_is_no,There is no,cow,False,False,0.21052631578947367,0.10526315789473684,False,,,,
2409203,multimodal_conflict,relation,What are the shelves next to the sink made of?,The image does not contain shelves next to the sink.,The shelves next to the sink are made of glass.,no_explicit_rejection,no_rule_match,,next|shelve|sink,False,False,0.5,0.5,True,conflict_stance:no_explicit_rejection,,,
2405435,multimodal_conflict,attribute,What color is the table?,The image does not contain a table.,The table is brown.,no_explicit_rejection,no_rule_match,,table,False,False,0.25,0.25,True,conflict_stance:no_explicit_rejection,,,
1592318,multimodal_conflict,object,Where is that moment taken?,The image does not contain a specific moment or event.,"The image appears to be taken in Carlisle, as indicated by the destination sign on the bus. The bus is a Stagecoach service, and the route number",no_explicit_rejection,no_rule_match,,,False,False,0.06896551724137931,0.06896551724137931,True,conflict_stance:no_explicit_rejection,,,
2402123,multimodal_conflict,attribute,What is the bridge made of?,The image does not contain a bridge.,"The bridge in the picture appears to be made of concrete or a similar material, as it has a smooth and flat surface typical of such structures. The bridge is",no_explicit_rejection,no_rule_match,,bridge,False,False,0.06666666666666667,0.06666666666666667,True,conflict_stance:no_explicit_rejection,,,
2393956,multimodal_conflict,relation,What is in the foreground?,The image does not contain any elements in the foreground.,"In the foreground, there is a black bear walking through a grassy area with some wildflowers. The background features dense foliage and trees, creating a natural forest",no_explicit_rejection,no_rule_match,,foreground,False,False,0.13333333333333333,0.13333333333333333,True,conflict_stance:no_explicit_rejection,,,
2406916,multimodal_conflict,object,What is cat in?,The image does not contain a cat.,"There is no cat present in the image. The image shows two people standing indoors, with one person wearing a suit and the other wearing a dress.",reject_premise,there_is_no,There is no,cat,False,False,0.14814814814814814,0.07407407407407407,False,,,,
2403720,multimodal_conflict,object,Where is the dog standing?,The image does not contain a dog.,"There is no existence of a dog in the image description, so it would be misleading to ask where a dog is standing.",reject_premise,there_is_no,There is no,dog,False,False,0.16000000000000003,0.16000000000000003,False,,,,
2396016,multimodal_conflict,attribute,What has a colorful trailer?,The image does not contain a colorful trailer.,"I am not sure what has a colorful trailer. It can be a truck, a trailer, or a car.",no_explicit_rejection,no_rule_match,,colorful|trailer,False,False,0.28571428571428575,0.28571428571428575,True,conflict_stance:no_explicit_rejection,,,
713590,multimodal_conflict,object,Where does this event take place?,This image does not contain any specific event.,"This image depicts a cozy living room setting. The room features a brown armchair with a red cushion, a television mounted on the wall above a white cabinet,",no_explicit_rejection,no_rule_match,,,False,False,0.13793103448275862,0.13793103448275862,True,conflict_stance:no_explicit_rejection,,,
2401850,multimodal_conflict,object,What are the pillars?,The image does not contain any pillars.,"The image shows a large, historic stone building with a prominent clock tower. The clock tower features intricate architectural details and is likely part of a medieval or Renaissance-style",no_explicit_rejection,no_rule_match,,,False,False,0.06451612903225806,0.06451612903225806,True,conflict_stance:no_explicit_rejection,,,
2401710,multimodal_conflict,object,How many cars are pictured?,The image does not contain any cars.,"There is no existence of any vehicles, including cars, in the image description.",reject_premise,there_is_no,There is no,car,False,False,0.3333333333333333,0.2222222222222222,False,,,,
2411972,multimodal_conflict,object,What type of drink is pictured?,This image does not contain a drink.,There is no mention or indication of any drink in the image description.,reject_premise,there_is_no,There is no,drink,False,False,0.2222222222222222,0.1111111111111111,False,,,,
2403954,multimodal_conflict,object,What's the shape of the cup?,The image does not contain a cup.,"I am not sure what the shape of the cup is. It can be seen as round, oval or square.",no_explicit_rejection,no_rule_match,,cup,False,False,0.1739130434782609,0.1739130434782609,True,conflict_stance:no_explicit_rejection,,,
2405672,multimodal_conflict,object,What is in the foreground?,The image does not contain any objects in the foreground.,There is no specific object or detail mentioned in the image description that can be identified as being in the foreground.,reject_premise,there_is_no,There is no,foreground|object,False,False,0.22222222222222218,0.22222222222222218,False,,,,
2393697,multimodal_conflict,object,Who is looking at the painting?,The image does not contain any depiction of a painting being looked at.,"I am not sure who is looking at the painting. It can be seen as ""man"" or ""woman"".",no_explicit_rejection,no_rule_match,,painting,False,False,0.21428571428571427,0.14285714285714285,True,conflict_stance:no_explicit_rejection,,,
2403767,multimodal_conflict,object,What length is the tree's trunk?,The image does not contain a tree or any tree trunk.,"There is no existence of a tree or its trunk in the image description, so this instruction is misleading as it asks about an object that does not exist in the",reject_premise,there_is_no,There is no,tree|trunk,False,False,0.3333333333333333,0.16666666666666666,False,,,,
2406901,multimodal_conflict,object,Where is the book?,The image does not contain a book.,There is no existence of a book in the image description.,reject_premise,there_is_no,There is no,book,False,False,0.2857142857142857,0.14285714285714285,False,,,,
2396910,multimodal_conflict,attribute,What are the blue items on the wall?,The image does not contain any blue items.,"I am not sure what the blue items on the wall are. It can be seen as tiles, stickers or something else.",no_explicit_rejection,no_rule_match,,blue|item,False,False,0.2222222222222222,0.2222222222222222,True,conflict_stance:no_explicit_rejection,,,
2401906,multimodal_conflict,attribute,What color is the text on the red sticker?,The image does not contain a red sticker.,The text on the red sticker is white.,no_explicit_rejection,no_rule_match,,red|sticker,False,False,0.3333333333333333,0.3333333333333333,True,conflict_stance:no_explicit_rejection,,,
2402736,multimodal_conflict,object,What is the bus sitting on?,The image does not contain a bus.,"The image shows a train, not a bus. The train is parked at a station with an orange and white exterior. The text on the side of the train",reject_premise,target_local_negation,image show train not bus train is parked at,bus,False,False,0.24,0.24,False,,,,
2402704,multimodal_conflict,attribute,What is red and round?,The image does not contain anything red.,The red and round objects in the image are the cushions on the armchair.,no_explicit_rejection,no_rule_match,,red,False,False,0.25,0.125,True,conflict_stance:no_explicit_rejection,,,
2402350,multimodal_conflict,object,Where is the book?,The image does not contain a book.,"I am not sure where the book is. It could be on the table, in the oven or on the counter.",no_explicit_rejection,no_rule_match,,book,False,False,0.1818181818181818,0.1818181818181818,True,conflict_stance:no_explicit_rejection,,,
2409661,multimodal_conflict,relation,How many slices of bacon are for the sandwich?,The image does not contain information about how many slices of bacon are for the sandwich.,"It is ambiguous how many slices of bacon are for the sandwich. It can be seen as one, two or three.",no_explicit_rejection,no_rule_match,,bacon|sandwich|slice,False,False,0.47058823529411764,0.47058823529411764,True,conflict_stance:no_explicit_rejection,,,
2400695,multimodal_conflict,attribute,What is the car's color?,1. The image does not contain any cars.,"I am not sure what the car's color is. It can be seen as yellow, green, or blue.",no_explicit_rejection,no_rule_match,,car,False,False,0.08333333333333333,0.08333333333333333,True,conflict_stance:no_explicit_rejection,,,
2404745,multimodal_conflict,relation,Why is the cat sitting on the chair?,The image does not show the cat sitting on the chair.,"The cat is not sitting on the chair; it is standing on the floor. The image shows a white cat wearing a black bow tie, looking at the camera",reject_premise,target_local_negation,cat is not sitting on chair it is,cat|chair|sitting,False,False,0.39999999999999997,0.26666666666666666,False,,,,
2406717,multimodal_conflict,attribute,How is the woman's hat?,The image does not contain a woman's hat.,The woman is not wearing a hat; she has long hair that falls over her shoulders.,reject_premise,target_local_negation,woman is not wearing hat she has long,hat|woman,False,False,0.2857142857142857,0.19047619047619047,False,,,,
2408970,multimodal_conflict,object,How did it get broken?,The image does not contain any information about something being broken.,"It seems like there might be some confusion in your question. The image you provided shows zebras running through a grassy area with trees in the background, but",no_explicit_rejection,no_rule_match,,,False,False,0.05714285714285714,0.05714285714285714,True,conflict_stance:no_explicit_rejection,,,
2405342,multimodal_conflict,object,How many bicycles are on the road?,The image does not contain any bicycles.,"There is no existence of any bicycles in the image description, so this instruction is misleading as it asks for an object that does not exist in the image.",reject_premise,there_is_no,There is no,bicycle,False,False,0.3125,0.1875,False,,,,
2396109,multimodal_conflict,object,Where is the fern?,The image does not contain a fern.,There is no existence of a fern in the image description.,reject_premise,there_is_no,There is no,fern,False,False,0.2857142857142857,0.14285714285714285,False,,,,
2396984,multimodal_conflict,object,What shade of color is the letter P?,The image does not contain the letter P.,"I am not sure what shade of color the letter P is. It can be seen as white, yellow, or pink.",no_explicit_rejection,no_rule_match,,letter,False,False,0.23076923076923075,0.23076923076923075,True,conflict_stance:no_explicit_rejection,,,
